epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
75,5271.11,1.5012,0.43345,0.73842,2.43962,0.002674,0.002674,0.002674
76,5340.18,1.45345,0.43345,0.73589,2.45734,0.002575,0.002575,0.002575
77,5409.68,1.43391,0.43555,0.73463,2.45983,0.002476,0.002476,0.002476
78,5478.59,1.4418,0.43429,0.73842,2.4495,0.002377,0.002377,0.002377
79,5548.07,1.40903,0.43555,0.73842,2.46232,0.002278,0.002278,0.002278
80,5616.89,1.38483,0.43302,0.73294,2.49501,0.002179,0.002179,0.002179
81,5686.01,1.37493,0.43555,0.73715,2.50524,0.00208,0.00208,0.00208
82,5755.42,1.35981,0.43934,0.73336,2.49761,0.001981,0.001981,0.001981
83,5824.44,1.31771,0.44271,0.73757,2.49944,0.001882,0.001882,0.001882
84,5893.66,1.34649,0.43976,0.74136,2.52313,0.001783,0.001783,0.001783
85,5962.88,1.28461,0.44061,0.7401,2.50099,0.001684,0.001684,0.001684
86,6031.86,1.28134,0.43766,0.73926,2.51406,0.001585,0.001585,0.001585
87,6100.78,1.2443,0.44356,0.73968,2.49904,0.001486,0.001486,0.001486
88,6169.86,1.25561,0.44524,0.73842,2.51965,0.001387,0.001387,0.001387
89,6239.08,1.20505,0.44945,0.73968,2.50141,0.001288,0.001288,0.001288
90,6308.27,1.15279,0.44777,0.74221,2.52077,0.001189,0.001189,0.001189
91,6377.22,1.19094,0.44693,0.7401,2.54788,0.00109,0.00109,0.00109
92,6446.38,1.16691,0.4444,0.7401,2.5556,0.000991,0.000991,0.000991
93,6515.73,1.13511,0.43934,0.74052,2.53648,0.000892,0.000892,0.000892
94,6584.75,1.15181,0.43766,0.73968,2.55486,0.000793,0.000793,0.000793
95,6653.85,1.13113,0.43639,0.73926,2.54111,0.000694,0.000694,0.000694
96,6722.77,1.12661,0.43639,0.73757,2.55256,0.000595,0.000595,0.000595
97,6792.24,1.08685,0.43682,0.73715,2.57199,0.000496,0.000496,0.000496
98,6861.3,1.11168,0.43682,0.73799,2.58016,0.000397,0.000397,0.000397
99,6930.41,1.07727,0.43555,0.73673,2.58462,0.000298,0.000298,0.000298
100,6999.61,1.08621,0.43471,0.73631,2.58908,0.000199,0.000199,0.000199
